firm year DPS_Dummy risk growth mb size cash lev cr re roa tax fix age liquid
19 2010 0 0.2948 0.1236 1.3349 14.3354 0.028 0.854 1.4186 -0.2596 0.0306 0 0.0351 3.2189 2.0046
19 2011 1 0.6213 0.3078 1.1854 14.6046 0.0381 0.8287 1.3691 0.1709 0.0598 0 0.0359 3.2581 1.816
19 2012 1 0.2064 0.4134 0.9127 15.0974 0.0379 0.6631 1.3359 0.1586 0.049 0.0879 0.2249 3.2958 2.0178
19 2013 1 0.7578 0.125 1.4091 15.1411 0.0226 0.6435 1.3037 0.2322 0.0472 0.1289 0.2367 3.3322 1.4156
19 2014 1 0.3804 0.205 1.3873 15.1332 0.034 0.5728 1.5009 0.3445 0.0829 0.1791 0.2383 3.3673 2.0608
19 2015 1 0.1271 0.1087 1.7793 15.2855 0.0383 0.5616 1.5531 0.4418 0.0852 0.1811 0.204 3.4012 2.7551
20 2009 1 0.8398 -0.2211 1.3424 11.4571 0.0181 0.857 1.1673 0.5119 0.0765 0.1983 0.0541 3.5553 0.7311
20 2010 1 0.3682 0.2371 1.274 11.5905 0.0195 0.782 1.2867 0.7198 0.1106 0.2009 0.0489 3.5835 0.341
21 2014 0 0.2919 0.0552 1.229 14.6571 0.0654 0.5167 1.3061 -0.0891 0.192 0 0.1755 3.3322 0.047
21 2015 1 0.3347 -0.242 2.0635 14.9109 0.0325 0.536 1.3048 0.1137 0.092 0.0394 0.1714 3.3673 0.0221
21 2016 1 0.2681 0.2415 2.9391 15.0956 0.0515 0.6018 1.1579 6.2236 0.0523 0 0.193 3.4012 0.0137
22 2009 1 0.1056 -0.1291 1.2833 13.1449 0.0066 0.7356 1.2327 0.4213 0.0647 0.1649 0.0602 3.7377 0.0722
22 2010 0 -3.4878 -0.3335 1.3518 13.0289 0.0207 0.9017 1.003 -0.7482 -0.1718 0 0.0653 3.7612 0.0124
22 2011 0 -0.89 -0.5383 1.1264 12.7393 0.0112 0.8547 1.3373 -1.6238 -0.1306 0 0.071 3.7842 1.1712
22 2012 0 -1.1809 -0.1584 1.054 13.1995 0.0089 0.5571 1.2779 -0.3522 -0.0075 0 0.3946 3.8067 0.0056
22 2013 0 -1.1797 0.0676 1.3766 12.6821 0.0409 0.9868 1.3435 -29.5523 -0.1376 0 0.0541 3.8286 0.01
22 2014 0 -1.4222 0.8674 0.9188 13.3852 0.0127 0.5018 1.2001 -0.3899 8e-04 0 0.5174 3.8501 0.0201
22 2015 0 -1.4422 -0.2027 1.008 13.4255 0.0234 0.5904 1.086 -0.6237 -0.0669 0 0.4949 3.8712 0.0198
22 2016 0 -0.2828 -0.2626 0.9469 13.3227 0.0244 0.5974 0.8982 -2.1789 -0.0494 0 0.5456 3.8918 0.1061
23 2009 1 0.0156 -0.512 1.5144 11.0262 0.0036 0.2584 2.9365 0.3967 0.1276 0.1998 0.2027 3.4965 0.0055
23 2010 0 3.8723 -0.5055 1.5474 10.7369 0.0032 0.3105 2.2006 0.1334 -0.0793 0 0.2329 3.5264 0.0016
23 2011 0 -0.6013 -0.4317 1.941 10.5045 0.0118 0.386 1.5443 -0.2278 -0.2479 0 0.2482 3.5553 2e-04
23 2012 0 -0.342 0.1132 1.7042 10.8499 0.0073 0.4113 1.0434 -0.3507 -0.1074 0 0.4197 3.5835 0.0018
23 2013 0 4.3489 2.1561 6.5275 10.5329 0.0087 0.6912 1.049 -1.3727 0.2891 0 0.1922 3.6109 0.0172
23 2014 0 1.2371 2.4499 2.4045 11.116 0.0076 0.4172 1.1937 -0.3278 0.0215 0 0.464 3.6376 0.0242
23 2015 0 2.1521 0.0104 1.8999 11.1977 0.0563 0.4313 1.1696 -0.2541 -0.0043 0 0.4589 3.6636 2.5237
23 2016 0 1.7536 -0.2395 2.3888 11.5017 0.0109 0.5526 1.1895 -6.3588 0.0278 0 0.3307 3.6889 1.7752
24 2009 0 -0.6152 0.1578 1.3685 15.3193 0.0166 1.0017 0.549 86.8773 -0.0494 0 0.5939 3.7377 0.0015
24 2010 0 -1.7554 0.2477 1.3206 15.4445 0.0184 1.0094 0.6869 15.0843 0.0047 0.2086 0.3603 3.7612 1e-04
24 2011 0 0.1941 0.2551 1.2893 15.5331 0.0462 1.0053 0.6401 23.6966 0.0033 0.1561 0.4283 3.7842 5e-04
24 2012 0 1.0562 0.4026 1.3287 15.8842 0.0727 0.9321 0.7316 -0.2557 0.0583 0.1871 0.3625 3.8067 0.1324
24 2013 0 0.3326 0.362 1.2253 16.0516 0.0573 0.949 0.9172 -0.4154 0.0305 0.1664 0.354 3.8286 0.2488
24 2014 1 0.8319 0.1886 1.2427 16.1705 0.0396 0.856 1.1122 0.5278 0.1045 0.1882 0.3518 3.8501 0.0965
24 2015 0 -6.3307 -0.1235 1.2734 16.1012 0.0461 1.0987 0.7014 1.7387 -0.1764 0 0.382 3.8712 0.215
25 2014 1 2.0374 0.537 1.1346 16.2476 0.0166 0.7536 0.6174 0.2707 0.0882 0 0.692 2.3026 0.1704
25 2015 0 -21.4921 -0.2924 1.2024 16.2027 0.0585 0.8843 0.5214 -0.6248 -0.1054 0 0.6452 2.3979 0.0472
25 2016 1 -4.817 0.2301 1.5123 16.3322 0.0881 0.7417 0.6948 20.3651 0.076 0 0.5308 2.4849 0.2765
26 2009 0 -5.2196 -0.2214 1.0901 12.8199 0.0045 0.8838 1.0208 -0.6639 -0.1234 0 0.1224 3.091 0.0317
26 2010 0 -1.3867 0.4064 1.1415 12.8524 0.0468 0.8966 1.1692 -0.8094 -0.0012 0 0.1068 3.1355 0.0342
26 2011 0 -1.3772 0.1429 1.1031 13.2355 0.0035 0.7582 0.8514 -0.9442 -0.0603 0 0.4183 3.1781 0.0118
26 2012 0 -0.1191 -0.0313 1.4134 12.9849 0.0141 1.1949 0.8638 1.8408 -0.0655 0 0.0978 3.2189 0.0045
26 2013 0 -1.568 0.1887 1.1893 13.4661 0.0072 0.9151 1.2444 -2.5859 0.0021 0 0.0563 3.2581 0.0821
26 2014 0 0.6833 0.6572 1.732 13.6873 0.0034 0.7797 1.4539 -0.6894 0.0242 0 0.0426 3.2958 1.7102
26 2015 0 0.3595 -0.1305 1.0932 14.4368 0.0033 0.6891 1.1765 -0.2756 0.0191 0 0.27 3.3322 1.3592
26 2016 0 0.2041 0.5137 1.9479 14.4819 0.0021 0.3591 2.6146 -19.1059 0.0623 0.1201 0.2643 3.3673 0.6915
27 2011 1 0.3915 0.6334 3.7881 13.2474 0.1515 0.2624 3.0526 0.4821 0.2996 9e-04 0.0811 4.0943 0.2527
